exampleID;order;family;scientific_name;record_type;life_stage;record_URL;image_URL;content;source;source_DOI;source_URL
11;Hymenoptera;Formicidae;Diacamma indicum;photograph;adult;https://www.antwiki.org/wiki/Diacamma_indicum;;"Legend: Diacamma indicum gamergate. Note the gemma (plural, gemmae), the small oval bulge immediately behind the posterior margin of the pronotum. Photo by Manoj Vembayam.";Antwiki;;
12;Hymenoptera;Formicidae;Bothroponera kruegeri;literature;adult;;;"Colonies of this ant were studied extensively to investigate the gamergate number (workers with the ability to reproduce), control over reproduction (Wildman and Crewe, 1988) and qualitative relations of egg size, egg production and colony size (Villet 1990). Bothroponera kruegeri has a specific form of regulation of gamergate numbers in their colonies. There is a single gamergate present in B. kruegeri colonies, which had 3 to 6 mature oocytes (Peeters and Crewe, 1985; Peeters and Crewe, 1986; Wildman and Crewe, 1988; and Peeters and Higashi, 1989). Moreover, B. kruegeri gamergates are able to produce between 0.5-3 eggs per day (Wildman and Crewe, 1988). Bothroponera kruegeri (B. rhodesiana) builds several entrances for their nest and the adjacent area contains loose earth (Wheeler, 1922b; Arnold, 1915).";"Joma, A.M.A. & Mackay, W.P. 2017. Revision of the African ants of the Bothroponera sulcata species complex (Hymenoptera: Formicidae: Ponerinae). Transactions of the American Entomological Society. 143:7-71.";10.3157/061.143.0103;
13;Hymenoptera;Formicidae;Streblognathus peetersi;database;adult;https://www.antwiki.org/wiki/Streblognathus_peetersi;;"The queen caste is entirely absent, with reproduction instead being performed by a single gamergate that is morphologically indistinguishable from nestmate workers but differs in its ovarian development (Cuvillier-Hot et al., 2004a), hormone levels (Brent et al., 2006), cuticular hydrocarbons (Cuvillier-Hot et al., 2005), and neurochemistry (Cuvillier-Hot & Lenoir, 2006). A dominance hierarchy exists in a colony, with high-ranking workers (mostly young) subordinate to the alpha but dominant over low-ranking individuals. Only alpha can mate with a foreign male, and she is then the gamergate. Behavioural observations of experimentally disturbed hierarchies were integrated with physiological measures of fertility (vitellogenin titre in the haemolymph) and chemical analysis of Cuticular Hydrocarbons, which are putative fertility pheromones. This multifaceted approach revealed that alpha differentiates through aggression among high-ranking workers, but once she is established, chemical signalling is enough to maintain its monopoly.";Antwiki;;
14;Hymenoptera;Formicidae;Heteroponera relicta;database;adult;https://www.antwiki.org/wiki/Heteroponera_relicta;;"Queens are ergatoid with 8 ovarioles, while workers have 2 ovarioles (Peeters 1991, Wheeler 1915)";Antwiki;;
15;Hymenoptera;Formicidae;Heteroponera brounii;photograph;adult;https://www.antwiki.org/wiki/Heteroponera_brounii;;"Ergatoid queen of H. brounii, showing striking enlargement of gaster. From AntWeb (CASENT0172108).";Antwiki;;
16;Hymenoptera;Formicidae;Streblognathus aethiopicus;database;adult;https://www.antwiki.org/wiki/Streblognathus_aethiopicus;;"Queens have been lost in Streblognathus; reproduction is carried out by gamergate workers. A single gamergate occurs in a colony and is morphologically indistinguishable from the other workers except in its ovarian development (Ware et al., 1990) and relative proportions of mandibular gland secretions (Jones et al., 1998). The gamergate has the alpha rank in a dominance hierarchy, and it mates with a foreign male. It is behaviorally distinct from foragers and nest workers (Ware et al., 1990).";Antwiki;;
17;Hymenoptera;Formicidae;Megalomyrmex staudingeri;literature;adult;;;"Within a series from Santo Antonio do Ica I found a gamergate with 3 ocelli, the flat mesonotum clearly separate from other tergites, petiolar node compressed and the gaster distinctly swollen.";"Brandão, C. R. F. 1990b. Systematic revision of the Neotropical ant genus Megalomyrmex Forel (Hymenoptera: Formicidae: Myrmicinae), with the description of thirteen new species. Arq. Zool. (São Paulo) 31: 411-481";10.11606/issn.2176-7793.v31i5p1-91;
18;Hymenoptera;Formicidae;Dinoponera;literature;adult;;;"Dinoponera has completely lost the queen caste and reproduction in each colony is instead performed by a single gamergate (mated egg-laying worker) who is the top (alpha) individual in a ranked dominance hierarchy (Haskins & Zahl, 1971; Monnin et al., 2003).";"Schmidt, C.A. & Shattuck, S.O. 2014. The higher classification of the ant subfamily Ponerinae (Hymenoptera: Formicidae), with a review of ponerine ecology and behavior. Zootaxa 3817, 1–242";10.11646/zootaxa.3817.1.1;
19;Hymenoptera;Formicidae;Diacamma scalpratum;database;adult;https://www.antwiki.org/wiki/Diacamma_scalpratum;;"Peeters, Heraty & Wiwatwitaya (2015) excavated four complete colonies of D. scalpratum from northern Thailand. Colonies were plentiful and easy to find in a small patch of pine forest. Excavation continued to a depth of 90cm in one colony. These four colonies yielded 151±109 workers (mean number ±SD) and 69±38 cocoons (range 47-101). Only one worker had gemmae in each colony, and dissections confirmed that this was the gamergate (i.e. mated and egg-laying). All workers dissected had 16-20 ovarioles, and this number is diagnostic among closely related species (e.g. another species with large workers from Thailand has 8 ovarioles).";Antwiki;;
20;Hymenoptera;Formicidae;Heteroponera mayri;photograph;adult;https://www.antwiki.org/wiki/Heteroponera_mayri;;"Ergatoid queen of H. mayrii, showing simplified, worker-like thorax. Photograph by Rodrigo Feitosa.";Antwiki;;
21;Hymenoptera;Formicidae;Hylomyrma immanis;literature;adult;;;"Note the following particularities of the caste: Ocelli present but inconspicuous. Entire pterothorax finely striolate-punctate, opaque, the microsculpture involving the coarsely reticulate-rugose macrosculpture, even on scutum and scutellum of mesonotum; the mesopleura are more distinctly and horizontally costate, and the declivous face of propodeum bears dense, fine, regular, transverse striae. Propodeal spines as long as in the worker, but broader at base. Wings unknown.";"Kempf, W. W. 1973. A revision of the Neotropical myrmicine ant genus Hylomyrma Forel (Hymenoptera: Formicidae). Stud. Entomol. 16: 225-260";;
22;Hymenoptera;Formicidae;Acanthognathus brevicornis;literature;adult;;;"Overall appearance of ergatoid similar to conspecific worker. Dorsal surface of the head presenting a single median ocellus, whereas in dacetine gynes, there are always three ocelli. Mesosoma with a conspicuous convex elevation in the posterior portion of the mesonotum, resembling the scutellum of conspecific gynes, although this structure is much more conspicuous in the latter. In workers of this species, the promesonotum is entirely convex in profile, clearly separated from the dorsum of the propodeum by the metanotal groove, with the mesosoma almost similar in appearance to conspecific ergatoids and bearing little resemblance to gynes of the species.";"Silva, T.S.R., Brandao, C.R.F. 2014. Further ergatoid gyne records in the ant tribe Dacetini (Formicidae: Myrmicinae). Neotropical Entomology 43, 161–171";10.1007/s13744-013-0192-7;
23;Hymenoptera;Formicidae;Acanthognathus ocellatus;literature;adult;;;"Four specimens presenting only a median ocellus in the head dorsum, vestigial in one specimen (SC: Blumenau B, upper triangle). In two specimens (SC: Blumenau A), there is an inconspicuous swelling in the postero-dorsal region of the mesonotum, possibly representing a vestigial scutellum, which is completely absent in conspecific workers. One of the specimens (SC: São Bonifácio: P.E. Serra do Tabuleiro) bears more drastic modifications in the mesosoma than in the other ergatoids found and presents three ocelli in the frontal region of the head, similar to conspecific gynes, contrasting with workers of the same species, which have no ocelli. In the posterior portion of the mesonotum, there is a well delimited scutellum, although smaller if compared to that of gynes of the same species. A pair of vestigial axillae is also present, located antero-laterally to the scutellum and connected to each other by a conspicuous scutoscutellar suture. Between the scutum and scutellum, there is a weakly impressed transscutal articulation. With the specimen in profile, it is possible to observe remains of the posterior-wing articulation, which prolongs ventrally to the scutellum and connects with the metanotal groove. The anepisternum is larger than in conspecific workers and mostly devoid of sculpture. Metanotum vestigial, transversely arched, with a median convex projection, which extends slightly over the antero-dorsal portion of the propodeum. None of these structures occur in conspecific workers, which have simplified mesosomas.";"Silva, T.S.R., Brandao, C.R.F. 2014. Further ergatoid gyne records in the ant tribe Dacetini (Formicidae: Myrmicinae). Neotropical Entomology 43, 161–171";10.1007/s13744-013-0192-7;
24;Hymenoptera;Formicidae;Acanthognathus rudis;literature;adult;;;"All specimens present a median ocellus, with a relative size that varies among specimens; four have it reduced while one (SP: Salesópolis EBB 3–5.v.1996 lower triangle) has the median ocellus of similar size to that of a conspecific gyne, whereas in workers of the same species, the ocelli are completely absent. In conspecific workers, the ocelli are completely absent. The rest of the body does not show any modifications in comparison to workers of the same species.";"Silva, T.S.R., Brandao, C.R.F. 2014. Further ergatoid gyne records in the ant tribe Dacetini (Formicidae: Myrmicinae). Neotropical Entomology 43, 161–171";10.1007/s13744-013-0192-7;
25;Hymenoptera;Formicidae;Strumigenys cosmostela;literature;adult;;;"The four S. cosmostela ergatoid specimens examined present no vestiges of ocelli and almost all modifications are restricted to the mesosoma. The only modification in the head is the placement of the eyes, which are slightly posterior to the head midlength, while in conspecific workers, the compound eyes are set anteriorly, near the mandible insertion. Also, the compound eyes are larger when compared to those of conspecific workers. In all ergatoids analyzed, there is the promesonotal suture, and the promesonotal dorsum, in profile, is flattened compared to workers, which have a more convex dorsum and no trace of the suture. In ergatoids, there is a swelling in the posterior portion of the mesonotum, forming a vestigial scutellum, with numerous filiform curved hairs directed posteriorly distributed over its lateral margin. There are no traces of axillae or scutoscutellar suture. The dorsal surface of the mesoscuttum bears four pairs of flagellate hairs, three of them near the mesoscutellum and the other one near the promesonotal suture. The metanotum is visible posteriorly to the scutellum, although small. As a contrast, these structures are entirely absent in the mesosoma of conspecific workers, whose dorsum is completely convex. The sole structural exception is the presence of the metanotal groove separating the promesonotal from the propodeal region, which is present in all three castes.";"Silva, T.S.R., Brandao, C.R.F. 2014. Further ergatoid gyne records in the ant tribe Dacetini (Formicidae: Myrmicinae). Neotropical Entomology 43, 161–171";10.1007/s13744-013-0192-7;
26;Hymenoptera;Formicidae;Strumigenys hindenburgi;literature;adult;;;"In one of the two analyzed specimens, there is a supplementary label with the name of the species and a hand annotation made by W.L. Brown Jr. saying “Strumigenys hindenburgi For. (atypical ergatoid ?).” In 1961, Brown commented further that this specimen may represent a pathological worker-female intermediate. The compound eyes in this specimen are larger if compared to a conspecific worker. The mesonotum presents a distinct scutellum separated from the scutum by a scutoscutellar suture, which, although clearly visible, is reduced to a small projection with numerousfiliform curved hairs directed posteriorly and distributed over its lateral margin. This feature is not visible in conspecific workers, which bears no other projections in the mesosoma besides the propodeal spines. The pilosity, although soft fine and curved in workers, is not ordered over the lateral margin of the mesosoma but distributed over its entire dorsum. There is a short median longitudinal carina on the dorsal surface of the scutellum, probably an extension of the scutal carina. The dorsal surface of the scutum presents four pairs of flagellate hairs, three of them near the scutoscutellar suture and one of them near the promesonotal suture, which is well impressed. At the point where the scutoscutellar suture and the metanotal groove meet, there is a pair of small swellings. The promesonotal dorsum, in profile, is flattened if compared to conspecific workers, which present the dorsum of the mesosoma completely convex, separated from the dorsum of the propodeum by the metanotal groove. Brown (1961) described this specimen very briefly, but the label information confirms that the specimen we studied is the same that he examined.";"Silva, T.S.R., Brandao, C.R.F. 2014. Further ergatoid gyne records in the ant tribe Dacetini (Formicidae: Myrmicinae). Neotropical Entomology 43, 161–171";10.1007/s13744-013-0192-7;
27;Hymenoptera;Vespidae;Leipomeles dorsata;literature;adult;;;"In our study, L. dorsata only presented slightly morphologic differentiation between egglayers and workers. Also, there is a physiological distinction found between egglayers and worker ovaries, except for the presence of a few females with ovarian development (but, see below), that may suggest strong control of reproduction. Group comparisons showed that egglayers are not a well-defined group based on size. In addition, Wilks' Lambda values were high demonstrating that in these colonies caste recognition is hardly done based on adult wasp morphology. In fact, castes morphological traits are always intersecting each other.";"Noll, Fernando B, Gomes, Bruno, Lima, Alexandre C O, Mateus, Sidnei, & Wenzel, John W. (2010). Castes in the neotropical social wasp Leipomeles dorsata (Fabricius) (Hymenoptera: Vespidae): a window for workers achieving a new status in the colony. Neotropical Entomology, 39(4), 549-554.";10.1590/S1519-566X2010000400013;
28;Hymenoptera;Vespidae;Polybia bistriata;literature;adult;;;"In the studied colonies, queens were slightly larger than workers, except in colony 6, which could be explained by a possible lack of nutrients in the phase of queen production. Even so, any of the individual measures has support to discriminate castes, since Wilks' Lambda values were very close to 1.0. Ovarian development was also unable to clearly separate castes, once inseminated worker-like females were found yet, it is possible to suggest that caste differentiation in P. bistriata is allometric based on size, similar to other previously found epiponines (Noll et al. 2004). In addition, the lesser the number of queens the larger the differences between castes (Fig. 3), which suggests a pattern of selection of queens for the size already found in some Polybia (Noll & Zucchi 2000).";"Oliveira, Otavio A.L. de, Noll, Fernando B., Mateus, Sidnei, & Gomes, Bruno. (2007). Castes and asynchronous colony cycle in Polybia bistriata (Fabricius) (Hymenoptera: Vespidae). Neotropical Entomology, 36(6), 817-827.";10.1590/S1519-566X2007000600001;
29;Hymenoptera;Vespidae;Apoica flavissima;literature;adult;;;"From table 8. Pattern: Morphologically and reproductively fixed; Physical caste differences: fixed; Ovary development in non-inseminated females: never; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
30;;;Agelaia vicina;literature;adult;;;"From table 8. Pattern: Morphologically and reproductively fixed; Physical caste differences: fixed; Ovary development in non-inseminated females: never; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
31;;;Chartergellus communis;literature;adult;;;"From table 8. Pattern: Reproductively inducible throughout cycle; Physical caste differences: absent; Ovary development in non-inseminated females: always; Timing in caste determination: Imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Parachartergus smithii;literature;adult;;;"From table 8. Pattern: Reproductively inducible throughout cycle; Physical caste differences: absent; Ovary development in non-inseminated females: always; Timing in caste determination: Imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Synoeca cyanea;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: absent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Synoeca surinamensis;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: absent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Metapolybia aztecoides;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: absent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Protopolybia exigua;literature;adult;;;"From table 8. Pattern: Morphoogically fixed, reproductively inducible cycle-dependent sometimes; Physical caste differences: Fixed, size; Ovary development in non-inseminated females: always; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Protopolybia sedula;literature;adult;;;"From table 8. Pattern: Morphoogically fixed, reproductively inducible cycle-dependent sometimes; Physical caste differences: Fixed, size; Ovary development in non-inseminated females: always; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Charterhus globiventris;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: Size cycle-dependent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Polybia scutellaris;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: Size cycle-dependent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Polybia occidentalis;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: Size cycle-dependent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Polybia paulista;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: Size cycle-dependent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Protonectarina sylveurae;literature;adult;;;"From table 8. Pattern: Reproductively inducible sometimes; Physical caste differences: Size cycle-dependent; Ovary development in non-inseminated females: Cycle dependent; Timing in caste determination: Pre-imaginal.";"Noll, F. B., & Zucchi, R. (2002). Castes and the influence of the colony cycle in swarm-founding polistine wasps (Hymenoptera, Vespidae, Epiponini). Insectes Sociaux, 49(1), 62-74.";10.1007/s00040-002-8281-3;
;;;Polistes metricus;literature;adult;;;"We identified 285 nourishment-responsive transcripts, many of which are related to lipid metabolism and oxidation-reduction activity. Via comparisons to previously identified caste-related genes, we found that nourishment restriction only partially biased wasp gene expression patterns toward worker caste-like traits, which supports the notion that nourishment, in conjunction with social environment, is a determinant of developmental caste bias.";;;
